"","Bird.Call","julian_day","min_bin","n"
"211","Eastern Wood-Pewee",186,1,0
"212","Acadian Flycatcher",186,1,8
"213","Yellow-throated Vireo",186,1,0
"214","Tufted Titmouse",186,1,0
"215","Summer Tanager",186,1,36
"216","Scarlet Tanager",186,1,0
"217","Eastern Wood-Pewee",187,1,3
"218","Acadian Flycatcher",187,1,0
"219","Yellow-throated Vireo",187,1,0
"220","Tufted Titmouse",187,1,0
"221","Summer Tanager",187,1,16
"222","Scarlet Tanager",187,1,1
"223","Eastern Wood-Pewee",188,1,0
"224","Acadian Flycatcher",188,1,4
"225","Yellow-throated Vireo",188,1,0
"226","Tufted Titmouse",188,1,0
"227","Summer Tanager",188,1,0
"228","Scarlet Tanager",188,1,1
"229","Eastern Wood-Pewee",189,1,2
"230","Acadian Flycatcher",189,1,1
"231","Yellow-throated Vireo",189,1,0
"232","Tufted Titmouse",189,1,0
"233","Summer Tanager",189,1,10
"234","Scarlet Tanager",189,1,0
"235","Eastern Wood-Pewee",190,1,0
"236","Acadian Flycatcher",190,1,0
"237","Yellow-throated Vireo",190,1,0
"238","Tufted Titmouse",190,1,0
"239","Summer Tanager",190,1,0
"240","Scarlet Tanager",190,1,0
"241","Eastern Wood-Pewee",191,1,0
"242","Acadian Flycatcher",191,1,0
"243","Yellow-throated Vireo",191,1,0
"244","Tufted Titmouse",191,1,0
"245","Summer Tanager",191,1,0
"246","Scarlet Tanager",191,1,0
"247","Eastern Wood-Pewee",192,1,0
"248","Acadian Flycatcher",192,1,0
"249","Yellow-throated Vireo",192,1,0
"250","Tufted Titmouse",192,1,0
"251","Summer Tanager",192,1,7
"252","Scarlet Tanager",192,1,0
"253","Eastern Wood-Pewee",193,1,3
"254","Acadian Flycatcher",193,1,0
"255","Yellow-throated Vireo",193,1,0
"256","Tufted Titmouse",193,1,0
"257","Summer Tanager",193,1,1
"258","Scarlet Tanager",193,1,0
"259","Eastern Wood-Pewee",194,1,0
"260","Acadian Flycatcher",194,1,21
"261","Yellow-throated Vireo",194,1,0
"262","Tufted Titmouse",194,1,5
"263","Summer Tanager",194,1,19
"264","Scarlet Tanager",194,1,0
"265","Eastern Wood-Pewee",195,1,1
"266","Acadian Flycatcher",195,1,0
"267","Yellow-throated Vireo",195,1,0
"268","Tufted Titmouse",195,1,0
"269","Summer Tanager",195,1,0
"270","Scarlet Tanager",195,1,0
"271","Eastern Wood-Pewee",196,1,0
"272","Acadian Flycatcher",196,1,0
"273","Yellow-throated Vireo",196,1,0
"274","Tufted Titmouse",196,1,0
"275","Summer Tanager",196,1,5
"276","Scarlet Tanager",196,1,0
"277","Eastern Wood-Pewee",197,1,0
"278","Acadian Flycatcher",197,1,0
"279","Yellow-throated Vireo",197,1,0
"280","Tufted Titmouse",197,1,0
"281","Summer Tanager",197,1,0
"282","Scarlet Tanager",197,1,0
"283","Eastern Wood-Pewee",198,1,0
"284","Acadian Flycatcher",198,1,0
"285","Yellow-throated Vireo",198,1,0
"286","Tufted Titmouse",198,1,0
"287","Summer Tanager",198,1,0
"288","Scarlet Tanager",198,1,0
"289","Eastern Wood-Pewee",199,1,1
"290","Acadian Flycatcher",199,1,0
"291","Yellow-throated Vireo",199,1,0
"292","Tufted Titmouse",199,1,0
"293","Summer Tanager",199,1,0
"294","Scarlet Tanager",199,1,0
"295","Eastern Wood-Pewee",200,1,0
"296","Acadian Flycatcher",200,1,0
"297","Yellow-throated Vireo",200,1,0
"298","Tufted Titmouse",200,1,0
"299","Summer Tanager",200,1,0
"300","Scarlet Tanager",200,1,0
"301","Eastern Wood-Pewee",201,1,1
"302","Acadian Flycatcher",201,1,0
"303","Yellow-throated Vireo",201,1,0
"304","Tufted Titmouse",201,1,0
"305","Summer Tanager",201,1,0
"306","Scarlet Tanager",201,1,0
"307","Eastern Wood-Pewee",151,2,0
"308","Acadian Flycatcher",151,2,11
"309","Yellow-throated Vireo",151,2,0
"310","Tufted Titmouse",151,2,0
"311","Summer Tanager",151,2,69
"312","Scarlet Tanager",151,2,15
"313","Eastern Wood-Pewee",152,2,0
"314","Acadian Flycatcher",152,2,6
"315","Yellow-throated Vireo",152,2,0
"316","Tufted Titmouse",152,2,0
"317","Summer Tanager",152,2,57
"318","Scarlet Tanager",152,2,2
"319","Eastern Wood-Pewee",153,2,8
"320","Acadian Flycatcher",153,2,16
"321","Yellow-throated Vireo",153,2,1
"322","Tufted Titmouse",153,2,0
"323","Summer Tanager",153,2,101
"324","Scarlet Tanager",153,2,0
"325","Eastern Wood-Pewee",154,2,0
"326","Acadian Flycatcher",154,2,12
"327","Yellow-throated Vireo",154,2,1
"328","Tufted Titmouse",154,2,14
"329","Summer Tanager",154,2,54
"330","Scarlet Tanager",154,2,5
"331","Eastern Wood-Pewee",155,2,0
"332","Acadian Flycatcher",155,2,26
"333","Yellow-throated Vireo",155,2,2
"334","Tufted Titmouse",155,2,0
"335","Summer Tanager",155,2,85
"336","Scarlet Tanager",155,2,23
"337","Eastern Wood-Pewee",156,2,1
"338","Acadian Flycatcher",156,2,18
"339","Yellow-throated Vireo",156,2,0
"340","Tufted Titmouse",156,2,3
"341","Summer Tanager",156,2,8
"342","Scarlet Tanager",156,2,6
"343","Eastern Wood-Pewee",157,2,0
"344","Acadian Flycatcher",157,2,66
"345","Yellow-throated Vireo",157,2,3
"346","Tufted Titmouse",157,2,0
"347","Summer Tanager",157,2,3
"348","Scarlet Tanager",157,2,1
"349","Eastern Wood-Pewee",158,2,0
"350","Acadian Flycatcher",158,2,4
"351","Yellow-throated Vireo",158,2,0
"352","Tufted Titmouse",158,2,4
"353","Summer Tanager",158,2,7
"354","Scarlet Tanager",158,2,0
"355","Eastern Wood-Pewee",159,2,0
"356","Acadian Flycatcher",159,2,7
"357","Yellow-throated Vireo",159,2,0
"358","Tufted Titmouse",159,2,0
"359","Summer Tanager",159,2,54
"360","Scarlet Tanager",159,2,0
"361","Eastern Wood-Pewee",160,2,0
"362","Acadian Flycatcher",160,2,2
"363","Yellow-throated Vireo",160,2,1
"364","Tufted Titmouse",160,2,0
"365","Summer Tanager",160,2,35
"366","Scarlet Tanager",160,2,0
"367","Eastern Wood-Pewee",161,2,0
"368","Acadian Flycatcher",161,2,0
"369","Yellow-throated Vireo",161,2,0
"370","Tufted Titmouse",161,2,8
"371","Summer Tanager",161,2,31
"372","Scarlet Tanager",161,2,4
"373","Eastern Wood-Pewee",162,2,0
"374","Acadian Flycatcher",162,2,1
"375","Yellow-throated Vireo",162,2,0
"376","Tufted Titmouse",162,2,5
"377","Summer Tanager",162,2,21
"378","Scarlet Tanager",162,2,6
"379","Eastern Wood-Pewee",163,2,0
"380","Acadian Flycatcher",163,2,4
"381","Yellow-throated Vireo",163,2,2
"382","Tufted Titmouse",163,2,0
"383","Summer Tanager",163,2,62
"384","Scarlet Tanager",163,2,1
"385","Eastern Wood-Pewee",164,2,0
"386","Acadian Flycatcher",164,2,0
"387","Yellow-throated Vireo",164,2,36
"388","Tufted Titmouse",164,2,0
"389","Summer Tanager",164,2,28
"390","Scarlet Tanager",164,2,1
"391","Eastern Wood-Pewee",165,2,0
"392","Acadian Flycatcher",165,2,0
"393","Yellow-throated Vireo",165,2,2
"394","Tufted Titmouse",165,2,0
"395","Summer Tanager",165,2,0
"396","Scarlet Tanager",165,2,0
"397","Eastern Wood-Pewee",166,2,0
"398","Acadian Flycatcher",166,2,0
"399","Yellow-throated Vireo",166,2,18
"400","Tufted Titmouse",166,2,0
"401","Summer Tanager",166,2,0
"402","Scarlet Tanager",166,2,0
"403","Eastern Wood-Pewee",167,2,5
"404","Acadian Flycatcher",167,2,0
"405","Yellow-throated Vireo",167,2,13
"406","Tufted Titmouse",167,2,0
"407","Summer Tanager",167,2,0
"408","Scarlet Tanager",167,2,0
"409","Eastern Wood-Pewee",168,2,0
"410","Acadian Flycatcher",168,2,2
"411","Yellow-throated Vireo",168,2,1
"412","Tufted Titmouse",168,2,0
"413","Summer Tanager",168,2,0
"414","Scarlet Tanager",168,2,1
"415","Eastern Wood-Pewee",169,2,3
"416","Acadian Flycatcher",169,2,2
"417","Yellow-throated Vireo",169,2,10
"418","Tufted Titmouse",169,2,0
"419","Summer Tanager",169,2,0
"420","Scarlet Tanager",169,2,4
"421","Eastern Wood-Pewee",170,2,23
"422","Acadian Flycatcher",170,2,9
"423","Yellow-throated Vireo",170,2,4
"424","Tufted Titmouse",170,2,6
"425","Summer Tanager",170,2,0
"426","Scarlet Tanager",170,2,9
"427","Eastern Wood-Pewee",171,2,19
"428","Acadian Flycatcher",171,2,1
"429","Yellow-throated Vireo",171,2,5
"430","Tufted Titmouse",171,2,0
"431","Summer Tanager",171,2,3
"432","Scarlet Tanager",171,2,10
"433","Eastern Wood-Pewee",172,2,0
"434","Acadian Flycatcher",172,2,1
"435","Yellow-throated Vireo",172,2,0
"436","Tufted Titmouse",172,2,0
"437","Summer Tanager",172,2,1
"438","Scarlet Tanager",172,2,1
"439","Eastern Wood-Pewee",173,2,0
"440","Acadian Flycatcher",173,2,7
"441","Yellow-throated Vireo",173,2,5
"442","Tufted Titmouse",173,2,0
"443","Summer Tanager",173,2,0
"444","Scarlet Tanager",173,2,4
"445","Eastern Wood-Pewee",174,2,0
"446","Acadian Flycatcher",174,2,8
"447","Yellow-throated Vireo",174,2,44
"448","Tufted Titmouse",174,2,0
"449","Summer Tanager",174,2,0
"450","Scarlet Tanager",174,2,2
"451","Eastern Wood-Pewee",175,2,0
"452","Acadian Flycatcher",175,2,8
"453","Yellow-throated Vireo",175,2,13
"454","Tufted Titmouse",175,2,0
"455","Summer Tanager",175,2,18
"456","Scarlet Tanager",175,2,2
"457","Eastern Wood-Pewee",176,2,0
"458","Acadian Flycatcher",176,2,0
"459","Yellow-throated Vireo",176,2,0
"460","Tufted Titmouse",176,2,0
"461","Summer Tanager",176,2,0
"462","Scarlet Tanager",176,2,0
"463","Eastern Wood-Pewee",177,2,0
"464","Acadian Flycatcher",177,2,0
"465","Yellow-throated Vireo",177,2,0
"466","Tufted Titmouse",177,2,0
"467","Summer Tanager",177,2,0
"468","Scarlet Tanager",177,2,0
"469","Eastern Wood-Pewee",178,2,0
"470","Acadian Flycatcher",178,2,2
"471","Yellow-throated Vireo",178,2,0
"472","Tufted Titmouse",178,2,0
"473","Summer Tanager",178,2,0
"474","Scarlet Tanager",178,2,0
"475","Eastern Wood-Pewee",179,2,0
"476","Acadian Flycatcher",179,2,0
"477","Yellow-throated Vireo",179,2,0
"478","Tufted Titmouse",179,2,0
"479","Summer Tanager",179,2,1
"480","Scarlet Tanager",179,2,1
"481","Eastern Wood-Pewee",180,2,0
"482","Acadian Flycatcher",180,2,0
"483","Yellow-throated Vireo",180,2,0
"484","Tufted Titmouse",180,2,0
"485","Summer Tanager",180,2,0
"486","Scarlet Tanager",180,2,1
"487","Eastern Wood-Pewee",181,2,0
"488","Acadian Flycatcher",181,2,3
"489","Yellow-throated Vireo",181,2,2
"490","Tufted Titmouse",181,2,0
"491","Summer Tanager",181,2,0
"492","Scarlet Tanager",181,2,2
"493","Eastern Wood-Pewee",182,2,0
"494","Acadian Flycatcher",182,2,1
"495","Yellow-throated Vireo",182,2,2
"496","Tufted Titmouse",182,2,0
"497","Summer Tanager",182,2,2
"498","Scarlet Tanager",182,2,10
"499","Eastern Wood-Pewee",183,2,0
"500","Acadian Flycatcher",183,2,1
"501","Yellow-throated Vireo",183,2,6
"502","Tufted Titmouse",183,2,0
"503","Summer Tanager",183,2,0
"504","Scarlet Tanager",183,2,1
"505","Eastern Wood-Pewee",184,2,0
"506","Acadian Flycatcher",184,2,3
"507","Yellow-throated Vireo",184,2,1
"508","Tufted Titmouse",184,2,0
"509","Summer Tanager",184,2,0
"510","Scarlet Tanager",184,2,0
"511","Eastern Wood-Pewee",185,2,2
"512","Acadian Flycatcher",185,2,1
"513","Yellow-throated Vireo",185,2,1
"514","Tufted Titmouse",185,2,0
"515","Summer Tanager",185,2,0
"516","Scarlet Tanager",185,2,1
"517","Eastern Wood-Pewee",186,2,0
"518","Acadian Flycatcher",186,2,3
"519","Yellow-throated Vireo",186,2,2
"520","Tufted Titmouse",186,2,0
"521","Summer Tanager",186,2,1
"522","Scarlet Tanager",186,2,5
"523","Eastern Wood-Pewee",187,2,1
"524","Acadian Flycatcher",187,2,10
"525","Yellow-throated Vireo",187,2,0
"526","Tufted Titmouse",187,2,0
"527","Summer Tanager",187,2,9
"528","Scarlet Tanager",187,2,12
"529","Eastern Wood-Pewee",188,2,0
"530","Acadian Flycatcher",188,2,5
"531","Yellow-throated Vireo",188,2,0
"532","Tufted Titmouse",188,2,0
"533","Summer Tanager",188,2,0
